Epoch[1/5000] Learning-rate: 0.003, Loss-Train: 19.7122, Loss-test: 315.3947 MEE-Train: 26.4558, MEE-test: 30.7601
Epoch[2/5000] Learning-rate: 0.003, Loss-Train: 2.2047, Loss-test: 35.2754 MEE-Train: 17.9337, MEE-test: 20.5236
Epoch[3/5000] Learning-rate: 0.003, Loss-Train: 4.5142, Loss-test: 72.2266 MEE-Train: 14.0143, MEE-test: 18.5891
Epoch[4/5000] Learning-rate: 0.003, Loss-Train: 3.4777, Loss-test: 55.6425 MEE-Train: 11.5206, MEE-test: 17.1718
Epoch[5/5000] Learning-rate: 0.003, Loss-Train: 2.0960, Loss-test: 33.5362 MEE-Train: 9.8709, MEE-test: 15.7435
Epoch[6/5000] Learning-rate: 0.003, Loss-Train: 1.8189, Loss-test: 29.1030 MEE-Train: 8.7269, MEE-test: 14.6769
Epoch[7/5000] Learning-rate: 0.003, Loss-Train: 1.2130, Loss-test: 19.4075 MEE-Train: 7.8495, MEE-test: 13.6703
Epoch[8/5000] Learning-rate: 0.003, Loss-Train: 0.6782, Loss-test: 10.8504 MEE-Train: 7.1809, MEE-test: 12.6747
Epoch[9/5000] Learning-rate: 0.003, Loss-Train: 0.3538, Loss-test: 5.6603 MEE-Train: 6.6381, MEE-test: 11.7242
Epoch[10/5000] Learning-rate: 0.003, Loss-Train: 0.2144, Loss-test: 3.4298 MEE-Train: 6.1914, MEE-test: 10.8726
Epoch[11/5000] Learning-rate: 0.003, Loss-Train: 0.1170, Loss-test: 1.8714 MEE-Train: 5.8109, MEE-test: 10.0996
Epoch[12/5000] Learning-rate: 0.003, Loss-Train: 0.1717, Loss-test: 2.7466 MEE-Train: 5.4910, MEE-test: 9.4972
Epoch[13/5000] Learning-rate: 0.003, Loss-Train: 0.0236, Loss-test: 0.3781 MEE-Train: 5.2182, MEE-test: 8.8485
Epoch[14/5000] Learning-rate: 0.003, Loss-Train: 0.0039, Loss-test: 0.0628 MEE-Train: 4.9741, MEE-test: 8.2475
Epoch[15/5000] Learning-rate: 0.003, Loss-Train: 0.0129, Loss-test: 0.2067 MEE-Train: 4.7567, MEE-test: 7.7502
Epoch[16/5000] Learning-rate: 0.003, Loss-Train: 0.0133, Loss-test: 0.2128 MEE-Train: 4.5666, MEE-test: 7.3157
Epoch[17/5000] Learning-rate: 0.003, Loss-Train: 0.0525, Loss-test: 0.8395 MEE-Train: 4.3915, MEE-test: 6.9787
Epoch[18/5000] Learning-rate: 0.003, Loss-Train: 0.0270, Loss-test: 0.4326 MEE-Train: 4.2378, MEE-test: 6.6543
Epoch[19/5000] Learning-rate: 0.003, Loss-Train: 0.0593, Loss-test: 0.9488 MEE-Train: 4.0953, MEE-test: 6.3929
Epoch[20/5000] Learning-rate: 0.003, Loss-Train: 0.0493, Loss-test: 0.7896 MEE-Train: 3.9676, MEE-test: 6.1502
Epoch[21/5000] Learning-rate: 0.003, Loss-Train: 0.0247, Loss-test: 0.3951 MEE-Train: 3.8471, MEE-test: 5.9092
Epoch[22/5000] Learning-rate: 0.003, Loss-Train: 0.0145, Loss-test: 0.2314 MEE-Train: 3.7355, MEE-test: 5.6784
Epoch[23/5000] Learning-rate: 0.003, Loss-Train: 0.0735, Loss-test: 1.1759 MEE-Train: 3.6318, MEE-test: 5.5132
Epoch[24/5000] Learning-rate: 0.003, Loss-Train: 0.0327, Loss-test: 0.5233 MEE-Train: 3.5393, MEE-test: 5.3357
Epoch[25/5000] Learning-rate: 0.003, Loss-Train: 0.0485, Loss-test: 0.7766 MEE-Train: 3.4522, MEE-test: 5.1833
Epoch[26/5000] Learning-rate: 0.003, Loss-Train: 0.0454, Loss-test: 0.7260 MEE-Train: 3.3735, MEE-test: 5.0407
Epoch[27/5000] Learning-rate: 0.003, Loss-Train: 0.0314, Loss-test: 0.5022 MEE-Train: 3.2971, MEE-test: 4.8995
Epoch[28/5000] Learning-rate: 0.003, Loss-Train: 0.0339, Loss-test: 0.5421 MEE-Train: 3.2249, MEE-test: 4.7701
Epoch[29/5000] Learning-rate: 0.003, Loss-Train: 0.0422, Loss-test: 0.6755 MEE-Train: 3.1566, MEE-test: 4.6547
Epoch[30/5000] Learning-rate: 0.003, Loss-Train: 0.0363, Loss-test: 0.5811 MEE-Train: 3.0918, MEE-test: 4.5435
Epoch[31/5000] Learning-rate: 0.003, Loss-Train: 0.0410, Loss-test: 0.6552 MEE-Train: 3.0314, MEE-test: 4.4422
Epoch[32/5000] Learning-rate: 0.003, Loss-Train: 0.0375, Loss-test: 0.5998 MEE-Train: 2.9749, MEE-test: 4.3453
Epoch[33/5000] Learning-rate: 0.003, Loss-Train: 0.0303, Loss-test: 0.4841 MEE-Train: 2.9203, MEE-test: 4.2501
Epoch[34/5000] Learning-rate: 0.003, Loss-Train: 0.0322, Loss-test: 0.5157 MEE-Train: 2.8677, MEE-test: 4.1617
Epoch[35/5000] Learning-rate: 0.003, Loss-Train: 0.0453, Loss-test: 0.7247 MEE-Train: 2.8174, MEE-test: 4.0849
Epoch[36/5000] Learning-rate: 0.003, Loss-Train: 0.0413, Loss-test: 0.6611 MEE-Train: 2.7696, MEE-test: 4.0106
Epoch[37/5000] Learning-rate: 0.003, Loss-Train: 0.0397, Loss-test: 0.6356 MEE-Train: 2.7236, MEE-test: 3.9395
Epoch[38/5000] Learning-rate: 0.003, Loss-Train: 0.0179, Loss-test: 0.2858 MEE-Train: 2.6797, MEE-test: 3.8602
Epoch[39/5000] Learning-rate: 0.003, Loss-Train: 0.0236, Loss-test: 0.3782 MEE-Train: 2.6382, MEE-test: 3.7885
Epoch[40/5000] Learning-rate: 0.003, Loss-Train: 0.0314, Loss-test: 0.5020 MEE-Train: 2.5986, MEE-test: 3.7245
Epoch[41/5000] Learning-rate: 0.003, Loss-Train: 0.0321, Loss-test: 0.5128 MEE-Train: 2.5606, MEE-test: 3.6639
Epoch[42/5000] Learning-rate: 0.003, Loss-Train: 0.0285, Loss-test: 0.4560 MEE-Train: 2.5237, MEE-test: 3.6045
Epoch[43/5000] Learning-rate: 0.003, Loss-Train: 0.0247, Loss-test: 0.3954 MEE-Train: 2.4886, MEE-test: 3.5460
Epoch[44/5000] Learning-rate: 0.003, Loss-Train: 0.0373, Loss-test: 0.5970 MEE-Train: 2.4546, MEE-test: 3.4959
Epoch[45/5000] Learning-rate: 0.003, Loss-Train: 0.0293, Loss-test: 0.4681 MEE-Train: 2.4217, MEE-test: 3.4445
Epoch[46/5000] Learning-rate: 0.003, Loss-Train: 0.0489, Loss-test: 0.7831 MEE-Train: 2.3894, MEE-test: 3.4029
Epoch[47/5000] Learning-rate: 0.003, Loss-Train: 0.0219, Loss-test: 0.3499 MEE-Train: 2.3597, MEE-test: 3.3523
Epoch[48/5000] Learning-rate: 0.003, Loss-Train: 0.0316, Loss-test: 0.5064 MEE-Train: 2.3299, MEE-test: 3.3082
Epoch[49/5000] Learning-rate: 0.003, Loss-Train: 0.0711, Loss-test: 1.1370 MEE-Train: 2.3018, MEE-test: 3.2784
Epoch[50/5000] Learning-rate: 0.003, Loss-Train: 0.0452, Loss-test: 0.7230 MEE-Train: 2.2746, MEE-test: 3.2422
Epoch[51/5000] Learning-rate: 0.003, Loss-Train: 0.0304, Loss-test: 0.4866 MEE-Train: 2.2484, MEE-test: 3.2024
Epoch[52/5000] Learning-rate: 0.003, Loss-Train: 0.0184, Loss-test: 0.2937 MEE-Train: 2.2231, MEE-test: 3.1588
Epoch[53/5000] Learning-rate: 0.003, Loss-Train: 0.0257, Loss-test: 0.4112 MEE-Train: 2.1982, MEE-test: 3.1202
Epoch[54/5000] Learning-rate: 0.003, Loss-Train: 0.0245, Loss-test: 0.3928 MEE-Train: 2.1741, MEE-test: 3.0825
