Epoch[1/1000] Learning-rate: 0.0002, Loss-Train: 628.2987, Loss-Test: 646.1268, Best-Accuracy-Train: 0.0640, Best-Accuracy-Test: 0.0680
Epoch[2/1000] Learning-rate: 0.0002, Loss-Train: 621.8192, Loss-Test: 636.3392, Best-Accuracy-Train: 0.0627, Best-Accuracy-Test: 0.0720
Epoch[3/1000] Learning-rate: 0.0002, Loss-Train: 604.1232, Loss-Test: 612.2140, Best-Accuracy-Train: 0.0587, Best-Accuracy-Test: 0.0480
Epoch[4/1000] Learning-rate: 0.0002, Loss-Train: 572.6318, Loss-Test: 567.3430, Best-Accuracy-Train: 0.0680, Best-Accuracy-Test: 0.0640
Epoch[5/1000] Learning-rate: 0.0002, Loss-Train: 509.2201, Loss-Test: 462.7040, Best-Accuracy-Train: 0.0680, Best-Accuracy-Test: 0.1480
Epoch[6/1000] Learning-rate: 0.0002, Loss-Train: 367.6774, Loss-Test: 293.5151, Best-Accuracy-Train: 0.1440, Best-Accuracy-Test: 0.0920
Epoch[7/1000] Learning-rate: 0.0002, Loss-Train: 226.7452, Loss-Test: 202.0713, Best-Accuracy-Train: 0.1120, Best-Accuracy-Test: 0.1160
Epoch[8/1000] Learning-rate: 0.0002, Loss-Train: 148.5477, Loss-Test: 123.5171, Best-Accuracy-Train: 0.1480, Best-Accuracy-Test: 0.1720
Epoch[9/1000] Learning-rate: 0.0002, Loss-Train: 82.4504, Loss-Test: 56.9268, Best-Accuracy-Train: 0.1307, Best-Accuracy-Test: 0.1360
Epoch[10/1000] Learning-rate: 0.0002, Loss-Train: 42.2966, Loss-Test: 32.2736, Best-Accuracy-Train: 0.1373, Best-Accuracy-Test: 0.1760
Epoch[11/1000] Learning-rate: 0.0002, Loss-Train: 32.6582, Loss-Test: 27.4045, Best-Accuracy-Train: 0.1520, Best-Accuracy-Test: 0.1960
Epoch[12/1000] Learning-rate: 0.0002, Loss-Train: 29.7523, Loss-Test: 25.4442, Best-Accuracy-Train: 0.1627, Best-Accuracy-Test: 0.1960
Epoch[13/1000] Learning-rate: 0.0002, Loss-Train: 27.8972, Loss-Test: 24.3060, Best-Accuracy-Train: 0.1627, Best-Accuracy-Test: 0.2120
Epoch[14/1000] Learning-rate: 0.0002, Loss-Train: 26.6271, Loss-Test: 23.2372, Best-Accuracy-Train: 0.1533, Best-Accuracy-Test: 0.1840
Epoch[15/1000] Learning-rate: 0.0002, Loss-Train: 25.4062, Loss-Test: 22.2132, Best-Accuracy-Train: 0.1573, Best-Accuracy-Test: 0.1840
Epoch[16/1000] Learning-rate: 0.0002, Loss-Train: 24.4456, Loss-Test: 21.2742, Best-Accuracy-Train: 0.1507, Best-Accuracy-Test: 0.1880
Epoch[17/1000] Learning-rate: 0.0002, Loss-Train: 23.5645, Loss-Test: 20.2738, Best-Accuracy-Train: 0.1520, Best-Accuracy-Test: 0.1800
Epoch[18/1000] Learning-rate: 0.0002, Loss-Train: 22.0708, Loss-Test: 19.4027, Best-Accuracy-Train: 0.1507, Best-Accuracy-Test: 0.2000
Epoch[19/1000] Learning-rate: 0.0002, Loss-Train: 20.9938, Loss-Test: 18.2176, Best-Accuracy-Train: 0.1547, Best-Accuracy-Test: 0.1960
Epoch[20/1000] Learning-rate: 0.0002, Loss-Train: 19.6468, Loss-Test: 17.3109, Best-Accuracy-Train: 0.1453, Best-Accuracy-Test: 0.2080
Epoch[21/1000] Learning-rate: 0.0002, Loss-Train: 18.3445, Loss-Test: 16.0087, Best-Accuracy-Train: 0.1587, Best-Accuracy-Test: 0.2320
Epoch[22/1000] Learning-rate: 0.0002, Loss-Train: 17.1604, Loss-Test: 15.0296, Best-Accuracy-Train: 0.1680, Best-Accuracy-Test: 0.2320
Epoch[23/1000] Learning-rate: 0.0002, Loss-Train: 15.8081, Loss-Test: 13.7889, Best-Accuracy-Train: 0.1747, Best-Accuracy-Test: 0.2360
Epoch[24/1000] Learning-rate: 0.0002, Loss-Train: 14.5070, Loss-Test: 12.8397, Best-Accuracy-Train: 0.1787, Best-Accuracy-Test: 0.2280
Epoch[25/1000] Learning-rate: 0.0002, Loss-Train: 13.1903, Loss-Test: 11.9428, Best-Accuracy-Train: 0.1707, Best-Accuracy-Test: 0.2440
Epoch[26/1000] Learning-rate: 0.0002, Loss-Train: 12.2124, Loss-Test: 10.9618, Best-Accuracy-Train: 0.1893, Best-Accuracy-Test: 0.2480
Epoch[27/1000] Learning-rate: 0.0002, Loss-Train: 11.1695, Loss-Test: 10.4503, Best-Accuracy-Train: 0.1880, Best-Accuracy-Test: 0.2240
Epoch[28/1000] Learning-rate: 0.0002, Loss-Train: 10.4277, Loss-Test: 9.7617, Best-Accuracy-Train: 0.1840, Best-Accuracy-Test: 0.2200
Epoch[29/1000] Learning-rate: 0.0002, Loss-Train: 9.6589, Loss-Test: 9.2262, Best-Accuracy-Train: 0.1960, Best-Accuracy-Test: 0.2280
Epoch[30/1000] Learning-rate: 0.0002, Loss-Train: 9.1175, Loss-Test: 8.8448, Best-Accuracy-Train: 0.1947, Best-Accuracy-Test: 0.2160
Epoch[31/1000] Learning-rate: 0.0002, Loss-Train: 8.5945, Loss-Test: 8.4287, Best-Accuracy-Train: 0.1880, Best-Accuracy-Test: 0.2240
Epoch[32/1000] Learning-rate: 0.0002, Loss-Train: 8.2278, Loss-Test: 8.1110, Best-Accuracy-Train: 0.2080, Best-Accuracy-Test: 0.2000
Epoch[33/1000] Learning-rate: 0.0002, Loss-Train: 7.8189, Loss-Test: 7.8469, Best-Accuracy-Train: 0.2107, Best-Accuracy-Test: 0.2000
Epoch[34/1000] Learning-rate: 0.0002, Loss-Train: 7.5416, Loss-Test: 7.5165, Best-Accuracy-Train: 0.1853, Best-Accuracy-Test: 0.2120
Epoch[35/1000] Learning-rate: 0.0002, Loss-Train: 7.2738, Loss-Test: 7.2695, Best-Accuracy-Train: 0.1933, Best-Accuracy-Test: 0.1960
Epoch[36/1000] Learning-rate: 0.0002, Loss-Train: 6.9755, Loss-Test: 7.0715, Best-Accuracy-Train: 0.1987, Best-Accuracy-Test: 0.2080
Epoch[37/1000] Learning-rate: 0.0002, Loss-Train: 6.7272, Loss-Test: 6.8308, Best-Accuracy-Train: 0.2027, Best-Accuracy-Test: 0.2280
Epoch[38/1000] Learning-rate: 0.0002, Loss-Train: 6.5446, Loss-Test: 6.6481, Best-Accuracy-Train: 0.1933, Best-Accuracy-Test: 0.2240
Epoch[39/1000] Learning-rate: 0.0002, Loss-Train: 6.2883, Loss-Test: 6.4605, Best-Accuracy-Train: 0.1920, Best-Accuracy-Test: 0.2240
Epoch[40/1000] Learning-rate: 0.0002, Loss-Train: 6.1497, Loss-Test: 6.2897, Best-Accuracy-Train: 0.1973, Best-Accuracy-Test: 0.2160
Epoch[41/1000] Learning-rate: 0.0002, Loss-Train: 5.9378, Loss-Test: 6.0924, Best-Accuracy-Train: 0.2000, Best-Accuracy-Test: 0.2320
Epoch[42/1000] Learning-rate: 0.0002, Loss-Train: 5.7787, Loss-Test: 5.9974, Best-Accuracy-Train: 0.2013, Best-Accuracy-Test: 0.2360
Epoch[43/1000] Learning-rate: 0.0002, Loss-Train: 5.6436, Loss-Test: 5.7707, Best-Accuracy-Train: 0.2053, Best-Accuracy-Test: 0.2240
Epoch[44/1000] Learning-rate: 0.0002, Loss-Train: 5.5353, Loss-Test: 5.6483, Best-Accuracy-Train: 0.2027, Best-Accuracy-Test: 0.2360
Epoch[45/1000] Learning-rate: 0.0002, Loss-Train: 5.4077, Loss-Test: 5.5257, Best-Accuracy-Train: 0.2067, Best-Accuracy-Test: 0.2360
Epoch[46/1000] Learning-rate: 0.0002, Loss-Train: 5.2503, Loss-Test: 5.4262, Best-Accuracy-Train: 0.2027, Best-Accuracy-Test: 0.2160
Epoch[47/1000] Learning-rate: 0.0002, Loss-Train: 5.1895, Loss-Test: 5.2286, Best-Accuracy-Train: 0.2000, Best-Accuracy-Test: 0.2280
Epoch[48/1000] Learning-rate: 0.0002, Loss-Train: 5.0020, Loss-Test: 5.1917, Best-Accuracy-Train: 0.2080, Best-Accuracy-Test: 0.2240
Epoch[49/1000] Learning-rate: 0.0002, Loss-Train: 4.8562, Loss-Test: 5.0358, Best-Accuracy-Train: 0.2093, Best-Accuracy-Test: 0.2440
Epoch[50/1000] Learning-rate: 0.0002, Loss-Train: 4.8200, Loss-Test: 4.9759, Best-Accuracy-Train: 0.1947, Best-Accuracy-Test: 0.2240
Epoch[51/1000] Learning-rate: 0.0002, Loss-Train: 4.6608, Loss-Test: 4.8194, Best-Accuracy-Train: 0.2067, Best-Accuracy-Test: 0.2520
