Epoch[1/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[2/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[3/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[4/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[5/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[6/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[7/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[8/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[9/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[10/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[11/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[12/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[13/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[14/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[15/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[16/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[17/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[18/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[19/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[20/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[21/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[22/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[23/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[24/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[25/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[26/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[27/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[28/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[29/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[30/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[31/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[32/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[33/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[34/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[35/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[36/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[37/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[38/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[39/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[40/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[41/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[42/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[43/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[44/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[45/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[46/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[47/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[48/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[49/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[50/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[51/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[52/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[53/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[54/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[55/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[56/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[57/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[58/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[59/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[60/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[61/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[62/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[63/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[64/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[65/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[66/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[67/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[68/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[69/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[70/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[71/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[72/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[73/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[74/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[75/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[76/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[77/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[78/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[79/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[80/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[81/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[82/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[83/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[84/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[85/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[86/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[87/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[88/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[89/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[90/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[91/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[92/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[93/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[94/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[95/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[96/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[97/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[98/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[99/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[100/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[101/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[102/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[103/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[104/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[105/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[106/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[107/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[108/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[109/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[110/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[111/200] Learning-rate: 0.1, Loss-Train: nan, Loss-Test: nan, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
