Epoch[1/1000] Learning-rate: 5e-06, Loss-Train: 630.5683, Loss-Test: 654.7108, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0200
Epoch[2/1000] Learning-rate: 5e-06, Loss-Train: 629.2807, Loss-Test: 653.2447, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0160
Epoch[3/1000] Learning-rate: 5e-06, Loss-Train: 629.8367, Loss-Test: 653.3320, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0200
Epoch[4/1000] Learning-rate: 5e-06, Loss-Train: 631.7090, Loss-Test: 652.5345, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0200
Epoch[5/1000] Learning-rate: 5e-06, Loss-Train: 631.8764, Loss-Test: 652.1354, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0200
Epoch[6/1000] Learning-rate: 5e-06, Loss-Train: 628.6385, Loss-Test: 655.3602, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0160
Epoch[7/1000] Learning-rate: 5e-06, Loss-Train: 629.0302, Loss-Test: 653.9865, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[8/1000] Learning-rate: 5e-06, Loss-Train: 630.1480, Loss-Test: 654.5324, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[9/1000] Learning-rate: 5e-06, Loss-Train: 628.8245, Loss-Test: 654.2319, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[10/1000] Learning-rate: 5e-06, Loss-Train: 628.9432, Loss-Test: 651.6635, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0160
Epoch[11/1000] Learning-rate: 5e-06, Loss-Train: 632.4874, Loss-Test: 654.7328, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0120
Epoch[12/1000] Learning-rate: 5e-06, Loss-Train: 627.3416, Loss-Test: 653.4020, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0120
Epoch[13/1000] Learning-rate: 5e-06, Loss-Train: 623.9310, Loss-Test: 654.5158, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0120
Epoch[14/1000] Learning-rate: 5e-06, Loss-Train: 628.3524, Loss-Test: 652.6162, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0120
Epoch[15/1000] Learning-rate: 5e-06, Loss-Train: 627.1668, Loss-Test: 651.8018, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0120
Epoch[16/1000] Learning-rate: 5e-06, Loss-Train: 630.9387, Loss-Test: 651.4693, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[17/1000] Learning-rate: 5e-06, Loss-Train: 628.8490, Loss-Test: 652.3440, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[18/1000] Learning-rate: 5e-06, Loss-Train: 624.9387, Loss-Test: 650.8125, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[19/1000] Learning-rate: 5e-06, Loss-Train: 629.9129, Loss-Test: 653.8387, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[20/1000] Learning-rate: 5e-06, Loss-Train: 626.4147, Loss-Test: 653.1711, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[21/1000] Learning-rate: 5e-06, Loss-Train: 631.7625, Loss-Test: 652.0798, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[22/1000] Learning-rate: 5e-06, Loss-Train: 629.7093, Loss-Test: 650.4025, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[23/1000] Learning-rate: 5e-06, Loss-Train: 627.3746, Loss-Test: 652.2203, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0120
Epoch[24/1000] Learning-rate: 5e-06, Loss-Train: 624.3056, Loss-Test: 651.8916, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[25/1000] Learning-rate: 5e-06, Loss-Train: 632.7296, Loss-Test: 650.8069, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[26/1000] Learning-rate: 5e-06, Loss-Train: 622.3242, Loss-Test: 649.8562, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[27/1000] Learning-rate: 5e-06, Loss-Train: 626.9023, Loss-Test: 649.3674, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0080
Epoch[28/1000] Learning-rate: 5e-06, Loss-Train: 625.5915, Loss-Test: 650.5402, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0080
Epoch[29/1000] Learning-rate: 5e-06, Loss-Train: 626.6304, Loss-Test: 648.9613, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[30/1000] Learning-rate: 5e-06, Loss-Train: 629.5165, Loss-Test: 651.4185, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[31/1000] Learning-rate: 5e-06, Loss-Train: 626.2203, Loss-Test: 648.7598, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[32/1000] Learning-rate: 5e-06, Loss-Train: 625.2162, Loss-Test: 648.2603, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[33/1000] Learning-rate: 5e-06, Loss-Train: 626.5759, Loss-Test: 648.6005, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0120
Epoch[34/1000] Learning-rate: 5e-06, Loss-Train: 628.3036, Loss-Test: 647.0669, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0160
Epoch[35/1000] Learning-rate: 5e-06, Loss-Train: 625.6794, Loss-Test: 646.6891, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0160
Epoch[36/1000] Learning-rate: 5e-06, Loss-Train: 623.9425, Loss-Test: 650.2357, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0160
Epoch[37/1000] Learning-rate: 5e-06, Loss-Train: 623.3778, Loss-Test: 650.0819, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0120
Epoch[38/1000] Learning-rate: 5e-06, Loss-Train: 624.7411, Loss-Test: 646.2035, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[39/1000] Learning-rate: 5e-06, Loss-Train: 623.1339, Loss-Test: 647.5724, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[40/1000] Learning-rate: 5e-06, Loss-Train: 623.4480, Loss-Test: 645.7625, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[41/1000] Learning-rate: 5e-06, Loss-Train: 627.4929, Loss-Test: 648.7782, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[42/1000] Learning-rate: 5e-06, Loss-Train: 625.0785, Loss-Test: 649.7275, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[43/1000] Learning-rate: 5e-06, Loss-Train: 623.5778, Loss-Test: 647.8414, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[44/1000] Learning-rate: 5e-06, Loss-Train: 623.7732, Loss-Test: 646.4557, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[45/1000] Learning-rate: 5e-06, Loss-Train: 626.1941, Loss-Test: 644.7188, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[46/1000] Learning-rate: 5e-06, Loss-Train: 621.7431, Loss-Test: 645.3248, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[47/1000] Learning-rate: 5e-06, Loss-Train: 622.1216, Loss-Test: 649.0281, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[48/1000] Learning-rate: 5e-06, Loss-Train: 621.4029, Loss-Test: 648.1840, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[49/1000] Learning-rate: 5e-06, Loss-Train: 619.7911, Loss-Test: 645.5024, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[50/1000] Learning-rate: 5e-06, Loss-Train: 621.4281, Loss-Test: 644.1788, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[51/1000] Learning-rate: 5e-06, Loss-Train: 626.0804, Loss-Test: 644.5896, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[52/1000] Learning-rate: 5e-06, Loss-Train: 624.5860, Loss-Test: 643.0511, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[53/1000] Learning-rate: 5e-06, Loss-Train: 617.5629, Loss-Test: 646.3504, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[54/1000] Learning-rate: 5e-06, Loss-Train: 618.4599, Loss-Test: 642.2214, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[55/1000] Learning-rate: 5e-06, Loss-Train: 620.0259, Loss-Test: 644.9031, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[56/1000] Learning-rate: 5e-06, Loss-Train: 625.3822, Loss-Test: 643.7899, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[57/1000] Learning-rate: 5e-06, Loss-Train: 617.4565, Loss-Test: 645.4893, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[58/1000] Learning-rate: 5e-06, Loss-Train: 621.6594, Loss-Test: 642.1844, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[59/1000] Learning-rate: 5e-06, Loss-Train: 620.9446, Loss-Test: 642.4465, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[60/1000] Learning-rate: 5e-06, Loss-Train: 617.2094, Loss-Test: 642.2211, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[61/1000] Learning-rate: 5e-06, Loss-Train: 620.5560, Loss-Test: 643.2846, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[62/1000] Learning-rate: 5e-06, Loss-Train: 620.1133, Loss-Test: 641.0045, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[63/1000] Learning-rate: 5e-06, Loss-Train: 617.7458, Loss-Test: 641.7433, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[64/1000] Learning-rate: 5e-06, Loss-Train: 614.8829, Loss-Test: 638.6897, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
