Epoch[1/300] Learning-rate: 0.003, Loss-Train: 29.6358, Loss-test: 96.3165 MEE-Train: 30.3351, MEE-test: 16.0492
Epoch[2/300] Learning-rate: 0.003, Loss-Train: 8.8249, Loss-test: 28.6810 MEE-Train: 20.9153, MEE-test: 12.2329
Epoch[3/300] Learning-rate: 0.003, Loss-Train: 7.1081, Loss-test: 23.1013 MEE-Train: 16.6284, MEE-test: 10.6634
Epoch[4/300] Learning-rate: 0.003, Loss-Train: 4.6391, Loss-test: 15.0771 MEE-Train: 14.1674, MEE-test: 9.4810
Epoch[5/300] Learning-rate: 0.003, Loss-Train: 3.4282, Loss-test: 11.1415 MEE-Train: 12.4571, MEE-test: 8.6027
Epoch[6/300] Learning-rate: 0.003, Loss-Train: 1.8122, Loss-test: 5.8895 MEE-Train: 11.1146, MEE-test: 7.7624
Epoch[7/300] Learning-rate: 0.003, Loss-Train: 1.5563, Loss-test: 5.0581 MEE-Train: 10.0270, MEE-test: 7.1293
Epoch[8/300] Learning-rate: 0.003, Loss-Train: 1.0217, Loss-test: 3.3205 MEE-Train: 9.1461, MEE-test: 6.5836
Epoch[9/300] Learning-rate: 0.003, Loss-Train: 1.0462, Loss-test: 3.4002 MEE-Train: 8.4236, MEE-test: 6.1417
Epoch[10/300] Learning-rate: 0.003, Loss-Train: 0.6584, Loss-test: 2.1399 MEE-Train: 7.8128, MEE-test: 5.7280
Epoch[11/300] Learning-rate: 0.003, Loss-Train: 0.6510, Loss-test: 2.1158 MEE-Train: 7.2964, MEE-test: 5.4014
Epoch[12/300] Learning-rate: 0.003, Loss-Train: 0.4806, Loss-test: 1.5619 MEE-Train: 6.8524, MEE-test: 5.1000
Epoch[13/300] Learning-rate: 0.003, Loss-Train: 0.4535, Loss-test: 1.4739 MEE-Train: 6.4727, MEE-test: 4.8367
Epoch[14/300] Learning-rate: 0.003, Loss-Train: 0.4464, Loss-test: 1.4509 MEE-Train: 6.1409, MEE-test: 4.6205
Epoch[15/300] Learning-rate: 0.003, Loss-Train: 0.4575, Loss-test: 1.4870 MEE-Train: 5.8457, MEE-test: 4.4293
