Epoch[1/2000] Learning-rate: 0.001, Loss-Train: 719.8806, Loss-Test: 604.6649, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[2/2000] Learning-rate: 0.001, Loss-Train: 383.9586, Loss-Test: 207.0107, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[3/2000] Learning-rate: 0.001, Loss-Train: 106.1387, Loss-Test: 65.3626, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0120
Epoch[4/2000] Learning-rate: 0.001, Loss-Train: 53.0282, Loss-Test: 41.8622, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[5/2000] Learning-rate: 0.001, Loss-Train: 34.9734, Loss-Test: 30.7957, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[6/2000] Learning-rate: 0.001, Loss-Train: 28.7471, Loss-Test: 26.5227, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0080
Epoch[7/2000] Learning-rate: 0.001, Loss-Train: 26.1443, Loss-Test: 24.6971, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0040
Epoch[8/2000] Learning-rate: 0.001, Loss-Train: 24.7311, Loss-Test: 23.6376, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[9/2000] Learning-rate: 0.001, Loss-Train: 23.9238, Loss-Test: 22.7760, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0080
Epoch[10/2000] Learning-rate: 0.001, Loss-Train: 22.8014, Loss-Test: 21.7101, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0000
Epoch[11/2000] Learning-rate: 0.001, Loss-Train: 21.5324, Loss-Test: 20.6779, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[12/2000] Learning-rate: 0.001, Loss-Train: 20.3937, Loss-Test: 19.4755, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[13/2000] Learning-rate: 0.001, Loss-Train: 18.9500, Loss-Test: 17.9943, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0040
Epoch[14/2000] Learning-rate: 0.001, Loss-Train: 17.2692, Loss-Test: 15.9233, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[15/2000] Learning-rate: 0.001, Loss-Train: 15.0820, Loss-Test: 13.4037, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0120
Epoch[16/2000] Learning-rate: 0.001, Loss-Train: 12.3147, Loss-Test: 10.1593, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0120
Epoch[17/2000] Learning-rate: 0.001, Loss-Train: 9.1248, Loss-Test: 7.4304, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0200
Epoch[18/2000] Learning-rate: 0.001, Loss-Train: 7.0322, Loss-Test: 5.9236, Best-Accuracy-Train: 0.0147, Best-Accuracy-Test: 0.0360
Epoch[19/2000] Learning-rate: 0.001, Loss-Train: 6.0575, Loss-Test: 5.1277, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0120
