Epoch[1/3000] Learning-rate: 0.001, Loss-Train: 762.9054, Loss-Test: 785.4552, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[2/3000] Learning-rate: 0.001, Loss-Train: 759.5419, Loss-Test: 782.4234, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[3/3000] Learning-rate: 0.001, Loss-Train: 754.3721, Loss-Test: 769.5727, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[4/3000] Learning-rate: 0.001, Loss-Train: 744.5532, Loss-Test: 752.1550, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[5/3000] Learning-rate: 0.001, Loss-Train: 717.9849, Loss-Test: 720.8291, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[6/3000] Learning-rate: 0.001, Loss-Train: 674.4353, Loss-Test: 647.3491, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[7/3000] Learning-rate: 0.001, Loss-Train: 591.2601, Loss-Test: 533.2884, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[8/3000] Learning-rate: 0.001, Loss-Train: 476.1154, Loss-Test: 419.3461, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[9/3000] Learning-rate: 0.001, Loss-Train: 395.7179, Loss-Test: 390.7548, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[10/3000] Learning-rate: 0.001, Loss-Train: 372.6289, Loss-Test: 372.5863, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[11/3000] Learning-rate: 0.001, Loss-Train: 349.7892, Loss-Test: 355.6084, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[12/3000] Learning-rate: 0.001, Loss-Train: 329.6207, Loss-Test: 338.9409, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[13/3000] Learning-rate: 0.001, Loss-Train: 306.0835, Loss-Test: 319.6345, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[14/3000] Learning-rate: 0.001, Loss-Train: 281.1573, Loss-Test: 289.4521, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[15/3000] Learning-rate: 0.001, Loss-Train: 247.5833, Loss-Test: 251.9700, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[16/3000] Learning-rate: 0.001, Loss-Train: 212.0206, Loss-Test: 211.6271, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[17/3000] Learning-rate: 0.001, Loss-Train: 175.9579, Loss-Test: 169.6617, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[18/3000] Learning-rate: 0.001, Loss-Train: 146.1367, Loss-Test: 138.2594, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[19/3000] Learning-rate: 0.001, Loss-Train: 126.0132, Loss-Test: 118.5065, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[20/3000] Learning-rate: 0.001, Loss-Train: 113.5530, Loss-Test: 106.5319, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0080
Epoch[21/3000] Learning-rate: 0.001, Loss-Train: 105.3030, Loss-Test: 98.3996, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0000
Epoch[22/3000] Learning-rate: 0.001, Loss-Train: 98.9122, Loss-Test: 93.2148, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[23/3000] Learning-rate: 0.001, Loss-Train: 93.7759, Loss-Test: 87.5756, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[24/3000] Learning-rate: 0.001, Loss-Train: 89.3443, Loss-Test: 82.4141, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0080
Epoch[25/3000] Learning-rate: 0.001, Loss-Train: 83.0489, Loss-Test: 76.3987, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0040
Epoch[26/3000] Learning-rate: 0.001, Loss-Train: 76.0672, Loss-Test: 68.5050, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0080
Epoch[27/3000] Learning-rate: 0.001, Loss-Train: 67.4927, Loss-Test: 58.6040, Best-Accuracy-Train: 0.0053, Best-Accuracy-Test: 0.0000
Epoch[28/3000] Learning-rate: 0.001, Loss-Train: 56.5212, Loss-Test: 46.5216, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[29/3000] Learning-rate: 0.001, Loss-Train: 44.0332, Loss-Test: 34.7763, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[30/3000] Learning-rate: 0.001, Loss-Train: 32.8450, Loss-Test: 26.8544, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[31/3000] Learning-rate: 0.001, Loss-Train: 26.0367, Loss-Test: 23.0421, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[32/3000] Learning-rate: 0.001, Loss-Train: 22.5230, Loss-Test: 20.4997, Best-Accuracy-Train: 0.0067, Best-Accuracy-Test: 0.0000
Epoch[33/3000] Learning-rate: 0.001, Loss-Train: 19.8914, Loss-Test: 18.1863, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[34/3000] Learning-rate: 0.001, Loss-Train: 17.9115, Loss-Test: 16.6926, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0080
