Epoch[1/3000] Learning-rate: 0.001, Loss-Train: 758.1876, Loss-Test: 774.8740, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[2/3000] Learning-rate: 0.001, Loss-Train: 745.5676, Loss-Test: 755.8002, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[3/3000] Learning-rate: 0.001, Loss-Train: 724.4100, Loss-Test: 736.4626, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[4/3000] Learning-rate: 0.001, Loss-Train: 699.0495, Loss-Test: 706.7566, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[5/3000] Learning-rate: 0.001, Loss-Train: 670.1727, Loss-Test: 667.4853, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0000
Epoch[6/3000] Learning-rate: 0.001, Loss-Train: 633.4902, Loss-Test: 633.2290, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[7/3000] Learning-rate: 0.001, Loss-Train: 601.2443, Loss-Test: 598.1765, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[8/3000] Learning-rate: 0.001, Loss-Train: 570.1580, Loss-Test: 573.0720, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[9/3000] Learning-rate: 0.001, Loss-Train: 543.9483, Loss-Test: 544.9642, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0040
Epoch[10/3000] Learning-rate: 0.001, Loss-Train: 520.7174, Loss-Test: 521.1403, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[11/3000] Learning-rate: 0.001, Loss-Train: 492.4259, Loss-Test: 498.8374, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[12/3000] Learning-rate: 0.001, Loss-Train: 472.2067, Loss-Test: 479.2478, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[13/3000] Learning-rate: 0.001, Loss-Train: 456.3615, Loss-Test: 457.8316, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0040
Epoch[14/3000] Learning-rate: 0.001, Loss-Train: 440.7369, Loss-Test: 441.7657, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[15/3000] Learning-rate: 0.001, Loss-Train: 424.9612, Loss-Test: 426.2684, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[16/3000] Learning-rate: 0.001, Loss-Train: 408.0124, Loss-Test: 409.6746, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0080
Epoch[17/3000] Learning-rate: 0.001, Loss-Train: 393.9965, Loss-Test: 397.7645, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
