Epoch[1/3000] Learning-rate: 0.001, Loss-Train: 751.4507, Loss-Test: 744.6158, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0000
Epoch[2/3000] Learning-rate: 0.001, Loss-Train: 597.9477, Loss-Test: 416.3934, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[3/3000] Learning-rate: 0.001, Loss-Train: 386.1328, Loss-Test: 390.3659, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[4/3000] Learning-rate: 0.001, Loss-Train: 329.2241, Loss-Test: 314.5170, Best-Accuracy-Train: 0.0013, Best-Accuracy-Test: 0.0000
Epoch[5/3000] Learning-rate: 0.001, Loss-Train: 175.0797, Loss-Test: 116.9654, Best-Accuracy-Train: 0.0027, Best-Accuracy-Test: 0.0040
Epoch[6/3000] Learning-rate: 0.001, Loss-Train: 73.1516, Loss-Test: 33.8856, Best-Accuracy-Train: 0.0080, Best-Accuracy-Test: 0.0080
Epoch[7/3000] Learning-rate: 0.001, Loss-Train: 35.3145, Loss-Test: 34.9422, Best-Accuracy-Train: 0.0000, Best-Accuracy-Test: 0.0000
Epoch[8/3000] Learning-rate: 0.001, Loss-Train: 26.6791, Loss-Test: 14.3534, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0040
Epoch[9/3000] Learning-rate: 0.001, Loss-Train: 15.9972, Loss-Test: 10.1448, Best-Accuracy-Train: 0.0040, Best-Accuracy-Test: 0.0160
Epoch[10/3000] Learning-rate: 0.001, Loss-Train: 9.8819, Loss-Test: 10.2074, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0080
Epoch[11/3000] Learning-rate: 0.001, Loss-Train: 8.0842, Loss-Test: 6.2745, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0120
Epoch[12/3000] Learning-rate: 0.001, Loss-Train: 6.2750, Loss-Test: 4.9455, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0000
Epoch[13/3000] Learning-rate: 0.001, Loss-Train: 5.1942, Loss-Test: 4.2648, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0080
Epoch[14/3000] Learning-rate: 0.001, Loss-Train: 4.6066, Loss-Test: 4.2388, Best-Accuracy-Train: 0.0160, Best-Accuracy-Test: 0.0200
Epoch[15/3000] Learning-rate: 0.001, Loss-Train: 5.0499, Loss-Test: 3.8652, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0120
Epoch[16/3000] Learning-rate: 0.001, Loss-Train: 4.6054, Loss-Test: 3.9168, Best-Accuracy-Train: 0.0107, Best-Accuracy-Test: 0.0280
Epoch[17/3000] Learning-rate: 0.001, Loss-Train: 3.7896, Loss-Test: 3.5891, Best-Accuracy-Train: 0.0120, Best-Accuracy-Test: 0.0240
Epoch[18/3000] Learning-rate: 0.001, Loss-Train: 3.7548, Loss-Test: 3.6599, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0040
Epoch[19/3000] Learning-rate: 0.001, Loss-Train: 3.5623, Loss-Test: 3.8080, Best-Accuracy-Train: 0.0200, Best-Accuracy-Test: 0.0240
Epoch[20/3000] Learning-rate: 0.001, Loss-Train: 3.4008, Loss-Test: 3.0592, Best-Accuracy-Train: 0.0187, Best-Accuracy-Test: 0.0240
Epoch[21/3000] Learning-rate: 0.001, Loss-Train: 3.3144, Loss-Test: 3.1343, Best-Accuracy-Train: 0.0133, Best-Accuracy-Test: 0.0120
Epoch[22/3000] Learning-rate: 0.001, Loss-Train: 3.0589, Loss-Test: 3.3004, Best-Accuracy-Train: 0.0093, Best-Accuracy-Test: 0.0160
